"","country","iso_code","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million","vaccines","source_name","source_website","max_full_vac"
"12","Bahrain","BHR",2021-01-03,60689,60689,NA,592,1011,3.57,3.57,NA,594,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"13","Bahrain","BHR",2021-01-04,61612,61612,NA,923,943,3.62,3.62,NA,554,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"14","Bahrain","BHR",2021-01-05,63893,63893,NA,2281,1122,3.75,3.75,NA,659,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"15","Bahrain","BHR",2021-01-06,68472,68472,NA,4579,1594,4.02,4.02,NA,937,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"16","Bahrain","BHR",2021-01-07,72239,72239,NA,3767,1942,4.25,4.25,NA,1141,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"17","Bahrain","BHR",2021-01-08,78291,78291,NA,6052,2706,4.6,4.6,NA,1590,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"18","Bahrain","BHR",2021-01-09,84157,84157,NA,5866,3437,4.95,4.95,NA,2020,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"19","Bahrain","BHR",2021-01-10,89250,89250,NA,5093,4080,5.25,5.25,NA,2398,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"20","Bahrain","BHR",2021-01-11,92598,92598,NA,3348,4427,5.44,5.44,NA,2602,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"21","Bahrain","BHR",2021-01-12,97776,97776,NA,5178,4840,5.75,5.75,NA,2844,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"22","Bahrain","BHR",2021-01-13,NA,101363,NA,NA,5288,NA,5.96,NA,3108,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"23","Bahrain","BHR",2021-01-14,NA,109566,NA,NA,5852,NA,6.44,NA,3439,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"24","Bahrain","BHR",2021-01-15,NA,122819,NA,NA,6089,NA,7.22,NA,3578,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"25","Bahrain","BHR",2021-01-16,NA,137159,NA,NA,6353,NA,8.06,NA,3734,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"26","Bahrain","BHR",2021-01-17,NA,141563,NA,NA,6727,NA,8.32,NA,3953,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"27","Bahrain","BHR",2021-01-18,NA,142831,NA,NA,7350,NA,8.39,NA,4320,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"28","Bahrain","BHR",2021-01-19,NA,143596,NA,NA,7712,NA,8.44,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"29","Bahrain","BHR",2021-01-20,NA,144130,NA,NA,7712,NA,8.47,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"30","Bahrain","BHR",2021-01-21,NA,NA,NA,NA,7712,NA,NA,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"31","Bahrain","BHR",2021-01-22,NA,NA,NA,NA,7712,NA,NA,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"32","Bahrain","BHR",2021-01-23,NA,NA,NA,NA,7712,NA,NA,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"33","Bahrain","BHR",2021-01-24,NA,NA,NA,NA,7712,NA,NA,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"34","Bahrain","BHR",2021-01-25,NA,NA,NA,NA,7712,NA,NA,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"35","Bahrain","BHR",2021-01-26,NA,165953,NA,NA,7712,NA,9.75,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"36","Bahrain","BHR",2021-01-27,NA,167731,NA,NA,7712,NA,9.86,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"37","Bahrain","BHR",2021-01-28,NA,169440,NA,NA,7712,NA,9.96,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"38","Bahrain","BHR",2021-01-29,NA,169810,NA,NA,7712,NA,9.98,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"39","Bahrain","BHR",2021-01-30,NA,170433,NA,NA,7712,NA,10.02,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"40","Bahrain","BHR",2021-01-31,NA,171568,NA,NA,7712,NA,10.08,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"41","Bahrain","BHR",2021-02-01,NA,172912,NA,NA,7712,NA,10.16,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"42","Bahrain","BHR",2021-02-02,NA,174075,NA,NA,7712,NA,10.23,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"43","Bahrain","BHR",2021-02-03,NA,175094,NA,NA,7712,NA,10.29,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"44","Bahrain","BHR",2021-02-04,NA,177233,NA,NA,7712,NA,10.42,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"45","Bahrain","BHR",2021-02-05,NA,179550,NA,NA,7712,NA,10.55,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"46","Bahrain","BHR",2021-02-06,NA,182543,NA,NA,7712,NA,10.73,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"47","Bahrain","BHR",2021-02-07,NA,191406,NA,NA,7712,NA,11.25,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"48","Bahrain","BHR",2021-02-08,NA,201116,NA,NA,7712,NA,11.82,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"49","Bahrain","BHR",2021-02-09,NA,212940,NA,NA,7712,NA,12.51,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"50","Bahrain","BHR",2021-02-10,NA,219595,NA,NA,7712,NA,12.91,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"51","Bahrain","BHR",2021-02-11,NA,224919,NA,NA,7712,NA,13.22,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"52","Bahrain","BHR",2021-02-12,NA,232540,NA,NA,7712,NA,13.67,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"53","Bahrain","BHR",2021-02-13,NA,242260,NA,NA,7712,NA,14.24,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"54","Bahrain","BHR",2021-02-14,NA,248775,NA,NA,7712,NA,14.62,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"55","Bahrain","BHR",2021-02-15,NA,250946,NA,NA,7712,NA,14.75,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"56","Bahrain","BHR",2021-02-16,NA,252990,NA,NA,7712,NA,14.87,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"57","Bahrain","BHR",2021-02-17,NA,257580,NA,NA,7712,NA,15.14,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"58","Bahrain","BHR",2021-02-18,NA,263422,NA,NA,7712,NA,15.48,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"59","Bahrain","BHR",2021-02-19,NA,268273,NA,NA,7712,NA,15.77,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"60","Bahrain","BHR",2021-02-20,NA,271749,NA,NA,7712,NA,15.97,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"61","Bahrain","BHR",2021-02-21,NA,274960,NA,NA,7712,NA,16.16,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"62","Bahrain","BHR",2021-02-22,NA,278222,NA,NA,7712,NA,16.35,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"63","Bahrain","BHR",2021-02-23,NA,281425,NA,NA,7712,NA,16.54,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"64","Bahrain","BHR",2021-02-24,NA,284948,NA,NA,7712,NA,16.75,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"65","Bahrain","BHR",2021-02-25,NA,290103,NA,NA,7712,NA,17.05,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"66","Bahrain","BHR",2021-02-26,NA,292917,NA,NA,7712,NA,17.21,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"67","Bahrain","BHR",2021-02-27,NA,295296,NA,NA,7712,NA,17.35,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"68","Bahrain","BHR",2021-02-28,NA,298171,NA,NA,7712,NA,17.52,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"69","Bahrain","BHR",2021-03-01,NA,301103,NA,NA,7712,NA,17.7,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"70","Bahrain","BHR",2021-03-02,NA,302671,NA,NA,7712,NA,17.79,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"71","Bahrain","BHR",2021-03-03,NA,303962,NA,NA,7712,NA,17.86,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"72","Bahrain","BHR",2021-03-04,NA,305619,NA,NA,7712,NA,17.96,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"73","Bahrain","BHR",2021-03-05,NA,307142,NA,NA,7712,NA,18.05,NA,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"74","Bahrain","BHR",2021-03-06,506519,307145,199374,NA,7712,29.77,18.05,11.72,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"75","Bahrain","BHR",2021-03-07,509907,308465,201442,3388,7094,29.97,18.13,11.84,4169,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"76","Bahrain","BHR",2021-03-08,512420,309741,202679,2513,6352,30.11,18.2,11.91,3733,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"77","Bahrain","BHR",2021-03-09,514559,310644,203915,2139,5556,30.24,18.26,11.98,3265,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"78","Bahrain","BHR",2021-03-10,517901,311829,206072,3342,4931,30.44,18.33,12.11,2898,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"79","Bahrain","BHR",2021-03-11,520429,312104,208325,2528,4191,30.58,18.34,12.24,2463,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"80","Bahrain","BHR",2021-03-12,522344,312119,210225,1915,3362,30.7,18.34,12.35,1976,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"81","Bahrain","BHR",2021-03-13,534625,322508,212117,12281,4015,31.42,18.95,12.47,2360,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"82","Bahrain","BHR",2021-03-14,551197,337016,214181,16572,5899,32.39,19.81,12.59,3467,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"83","Bahrain","BHR",2021-03-15,566796,349970,216826,15599,7768,33.31,20.57,12.74,4565,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"84","Bahrain","BHR",2021-03-16,580539,361241,219298,13743,9426,34.12,21.23,12.89,5540,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"85","Bahrain","BHR",2021-03-17,597446,374873,222573,16907,11364,35.11,22.03,13.08,6678,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"86","Bahrain","BHR",2021-03-18,613946,386426,227520,16500,13360,36.08,22.71,13.37,7852,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"87","Bahrain","BHR",2021-03-19,626751,396356,230395,12805,14915,36.83,23.29,13.54,8765,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"88","Bahrain","BHR",2021-03-20,640104,407322,232782,13353,15068,37.62,23.94,13.68,8855,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"89","Bahrain","BHR",2021-03-21,653236,417364,235872,13132,14577,38.39,24.53,13.86,8567,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"90","Bahrain","BHR",2021-03-22,667155,428240,238915,13919,14337,39.21,25.17,14.04,8426,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"91","Bahrain","BHR",2021-03-23,680081,439433,240648,12926,14220,39.97,25.82,14.14,8357,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"92","Bahrain","BHR",2021-03-24,694679,452551,242128,14598,13890,40.83,26.6,14.23,8163,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"93","Bahrain","BHR",2021-03-25,707980,464040,243940,13301,13433,41.61,27.27,14.34,7894,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"94","Bahrain","BHR",2021-03-26,717408,471927,245481,9428,12951,42.16,27.73,14.43,7611,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"95","Bahrain","BHR",2021-03-27,724001,478094,245907,6593,11985,42.55,28.1,14.45,7043,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"96","Bahrain","BHR",2021-03-28,735717,487640,248077,11716,11783,43.24,28.66,14.58,6925,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"97","Bahrain","BHR",2021-03-29,747008,496492,250516,11291,11408,43.9,29.18,14.72,6704,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"98","Bahrain","BHR",2021-03-30,755549,502541,253008,8541,10781,44.4,29.53,14.87,6336,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"99","Bahrain","BHR",2021-03-31,766317,510877,255440,10768,10234,45.04,30.02,15.01,6014,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"100","Bahrain","BHR",2021-04-01,775196,517603,257593,8879,9602,45.56,30.42,15.14,5643,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"101","Bahrain","BHR",2021-04-02,782530,522955,259575,7334,9303,45.99,30.73,15.25,5467,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"102","Bahrain","BHR",2021-04-03,797924,527339,270585,15394,10560,46.89,30.99,15.9,6206,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"103","Bahrain","BHR",2021-04-04,817379,530415,286964,19455,11666,48.04,31.17,16.86,6856,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"104","Bahrain","BHR",2021-04-05,836788,534356,302432,19409,12826,49.18,31.4,17.77,7538,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"105","Bahrain","BHR",2021-04-06,856326,539956,316370,19538,14397,50.33,31.73,18.59,8461,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"106","Bahrain","BHR",2021-04-07,879825,546540,333285,23499,16215,51.71,32.12,19.59,9529,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"107","Bahrain","BHR",2021-04-08,900875,552084,348791,21050,17954,52.94,32.45,20.5,10551,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"108","Bahrain","BHR",2021-04-09,919222,557298,361924,18347,19527,54.02,32.75,21.27,11476,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"109","Bahrain","BHR",2021-04-10,939068,562253,376815,19846,20163,55.19,33.04,22.14,11850,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"110","Bahrain","BHR",2021-04-11,956471,565171,391300,17403,19870,56.21,33.21,23,11677,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"111","Bahrain","BHR",2021-04-12,973982,568892,405090,17511,19599,57.24,33.43,23.81,11518,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","Ministry of Health","https://healthalert.gov.bh/en/",23.81
"112","Bermuda","BMU",2021-01-10,0,0,NA,NA,NA,0,0,NA,NA,"Pfizer/BioNTech","Government of Bermuda","https://bernews.com/2021/04/evening-video-govt-covid-19-press-conference-3/",27.88
"113","Bermuda","BMU",2021-01-11,NA,NA,NA,NA,278,NA,NA,NA,4464,"Pfizer/BioNTech","Government of Bermuda","https://bernews.com/2021/04/evening-video-govt-covid-19-press-conference-3/",27.88
