"","country","iso_code","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million","vaccines","source_name","source_website"
"37","Brazil","BRA",2021-02-21,6950802,5817908,1132894,137634,244837,3.27,2.74,0.53,1152,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"38","Brazil","BRA",2021-02-22,7028356,5857080,1171276,77554,247768,3.31,2.76,0.55,1166,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"39","Brazil","BRA",2021-02-23,7297061,6002873,1294188,268705,241018,3.43,2.82,0.61,1134,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"40","Brazil","BRA",2021-02-24,7551676,6116082,1435594,254615,238305,3.55,2.88,0.68,1121,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"41","Brazil","BRA",2021-02-25,7799000,6202055,1596945,247324,227474,3.67,2.92,0.75,1070,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"42","Brazil","BRA",2021-02-26,8101787,6346769,1755018,302787,223804,3.81,2.99,0.83,1053,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"43","Brazil","BRA",2021-02-27,8322042,6437836,1884206,220255,215553,3.92,3.03,0.89,1014,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"44","Brazil","BRA",2021-02-28,8433568,6518628,1914940,111526,211824,3.97,3.07,0.9,997,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"45","Brazil","BRA",2021-03-01,8465403,6542206,1923197,31835,205292,3.98,3.08,0.9,966,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"46","Brazil","BRA",2021-03-02,8841027,6806293,2034734,375624,220567,4.16,3.2,0.96,1038,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"47","Brazil","BRA",2021-03-03,9277322,7114219,2163103,436295,246521,4.36,3.35,1.02,1160,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"48","Brazil","BRA",2021-03-04,9739676,7417852,2321824,462354,277239,4.58,3.49,1.09,1304,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"49","Brazil","BRA",2021-03-05,10169160,7701146,2468014,429484,295339,4.78,3.62,1.16,1389,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"50","Brazil","BRA",2021-03-06,NA,NA,NA,NA,269398,NA,NA,NA,1267,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"51","Brazil","BRA",2021-03-07,NA,NA,NA,NA,258989,NA,NA,NA,1218,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"52","Brazil","BRA",2021-03-08,NA,NA,NA,NA,259965,NA,NA,NA,1223,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"53","Brazil","BRA",2021-03-09,NA,NA,NA,NA,211828,NA,NA,NA,997,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"54","Brazil","BRA",2021-03-10,10362487,7851531,2510956,NA,155024,4.88,3.69,1.18,729,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"55","Brazil","BRA",2021-03-11,10740859,8092244,2648615,378372,143026,5.05,3.81,1.25,673,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"56","Brazil","BRA",2021-03-12,11149530,8360366,2789164,408671,140053,5.25,3.93,1.31,659,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"57","Brazil","BRA",2021-03-13,11362190,8512960,2849230,212660,164909,5.35,4,1.34,776,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"58","Brazil","BRA",2021-03-14,11422666,8561847,2860819,60476,168025,5.37,4.03,1.35,790,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"59","Brazil","BRA",2021-03-15,11895560,8919356,2976204,472894,230058,5.6,4.2,1.4,1082,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"60","Brazil","BRA",2021-03-16,NA,NA,NA,NA,280729,NA,NA,NA,1321,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"61","Brazil","BRA",2021-03-17,12682290,9451188,3231102,NA,331400,5.97,4.45,1.52,1559,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"62","Brazil","BRA",2021-03-18,13013331,9709526,3303805,331041,324639,6.12,4.57,1.55,1527,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"63","Brazil","BRA",2021-03-19,13335728,9970231,3365497,322397,312314,6.27,4.69,1.58,1469,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"64","Brazil","BRA",2021-03-20,13479165,10099070,3380095,143437,302425,6.34,4.75,1.59,1423,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"65","Brazil","BRA",2021-03-21,13562176,10168973,3393203,83011,305644,6.38,4.78,1.6,1438,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"66","Brazil","BRA",2021-03-22,14116560,10609471,3507089,554384,317286,6.64,4.99,1.65,1493,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"67","Brazil","BRA",2021-03-23,15209201,11559487,3649714,1092641,417182,7.16,5.44,1.72,1963,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"68","Brazil","BRA",2021-03-24,15943964,12148769,3795195,734763,465953,7.5,5.72,1.79,2192,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"69","Brazil","BRA",2021-03-25,16557071,12639545,3917526,613107,506249,7.79,5.95,1.84,2382,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"70","Brazil","BRA",2021-03-26,17032868,13053114,3979754,475797,528163,8.01,6.14,1.87,2485,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"71","Brazil","BRA",2021-03-27,17519083,13487207,4031876,486215,577131,8.24,6.35,1.9,2715,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"72","Brazil","BRA",2021-03-28,17706983,13659406,4047577,187900,592115,8.33,6.43,1.9,2786,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"73","Brazil","BRA",2021-03-29,18082153,13988029,4094124,375170,566513,8.51,6.58,1.93,2665,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"74","Brazil","BRA",2021-03-30,18222559,14112509,4110050,140406,430480,8.57,6.64,1.93,2025,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"75","Brazil","BRA",2021-03-31,19155981,14921376,4234605,933422,458860,9.01,7.02,1.99,2159,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"76","Brazil","BRA",2021-04-01,NA,NA,NA,NA,476765,NA,NA,NA,2243,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"77","Brazil","BRA",2021-04-02,20632877,16099532,4533345,NA,514287,9.71,7.57,2.13,2419,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"78","Brazil","BRA",2021-04-03,20956770,16377083,4579687,323893,491098,9.86,7.7,2.15,2310,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"79","Brazil","BRA",2021-04-04,21070128,16472281,4597847,113358,480449,9.91,7.75,2.16,2260,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"80","Brazil","BRA",2021-04-05,21960953,17128933,4832020,890825,554114,10.33,8.06,2.27,2607,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"81","Brazil","BRA",2021-04-06,22850791,17791338,5059453,889838,661176,10.75,8.37,2.38,3111,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"82","Brazil","BRA",2021-04-07,24197996,18859274,5338722,1347205,720288,11.38,8.87,2.51,3389,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"83","Brazil","BRA",2021-04-08,24981199,19386057,5595142,783203,726681,11.75,9.12,2.63,3419,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"84","Brazil","BRA",2021-04-09,25735314,19886870,5848444,754115,728920,12.11,9.36,2.75,3429,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"85","Brazil","BRA",2021-04-10,26548845,20513828,6035017,813531,798868,12.49,9.65,2.84,3758,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"86","Brazil","BRA",2021-04-11,26741261,20654434,6086827,192416,810162,12.58,9.72,2.86,3811,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"87","Brazil","BRA",2021-04-12,27432994,21080623,6352371,691733,781720,12.91,9.92,2.99,3678,"Oxford/AstraZeneca, Sinovac","Ministry of Health","https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html"
"88","China","CHN",2020-12-15,1500000,NA,NA,NA,NA,0.1,NA,NA,NA,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"89","China","CHN",2020-12-16,NA,NA,NA,NA,187500,NA,NA,NA,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"90","China","CHN",2020-12-17,NA,NA,NA,NA,187500,NA,NA,NA,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"91","China","CHN",2020-12-18,NA,NA,NA,NA,187500,NA,NA,NA,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"92","China","CHN",2020-12-19,NA,NA,NA,NA,187500,NA,NA,NA,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"93","China","CHN",2020-12-20,NA,NA,NA,NA,187500,NA,NA,NA,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"94","China","CHN",2020-12-21,NA,NA,NA,NA,187500,NA,NA,NA,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"95","China","CHN",2020-12-22,NA,NA,NA,NA,187500,NA,NA,NA,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"96","China","CHN",2020-12-23,NA,NA,NA,NA,187500,NA,NA,NA,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"97","China","CHN",2020-12-24,NA,NA,NA,NA,187500,NA,NA,NA,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"98","China","CHN",2020-12-25,NA,NA,NA,NA,187500,NA,NA,NA,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"99","China","CHN",2020-12-26,NA,NA,NA,NA,187500,NA,NA,NA,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"100","China","CHN",2020-12-27,NA,NA,NA,NA,187500,NA,NA,NA,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"101","China","CHN",2020-12-28,NA,NA,NA,NA,187500,NA,NA,NA,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"102","China","CHN",2020-12-29,NA,NA,NA,NA,187500,NA,NA,NA,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"103","China","CHN",2020-12-30,NA,NA,NA,NA,187500,NA,NA,NA,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"104","China","CHN",2020-12-31,4500000,NA,NA,NA,187500,0.31,NA,NA,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"105","China","CHN",2021-01-01,NA,NA,NA,NA,232143,NA,NA,NA,161,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"106","China","CHN",2021-01-02,NA,NA,NA,NA,276786,NA,NA,NA,192,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"107","China","CHN",2021-01-03,NA,NA,NA,NA,321429,NA,NA,NA,223,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
"108","China","CHN",2021-01-04,NA,NA,NA,NA,366071,NA,NA,NA,254,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac","National Health Commission","http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml"
